id;grupo;arquivo;offset;original;portugues;limite;codec
repo_heal;Menu principal;MENU/REPOMENU.BIN;0x14;Heal;Curar;10;nibble
repo_status;Menu principal;MENU/REPOMENU.BIN;0x44;Status;Estado;10;nibble
repo_equip;Menu principal;MENU/REPOMENU.BIN;0x74;Equip;Equipar;10;nibble
repo_items;Menu principal;MENU/REPOMENU.BIN;0xA4;Items;Itens;10;nibble
repo_formation;Menu principal;MENU/REPOMENU.BIN;0xD4;Formation;Formação;10;nibble
repo_read;Menu principal;MENU/REPOMENU.BIN;0x104;Read;Ler;10;nibble
repo_config;Menu principal;MENU/REPOMENU.BIN;0x134;Config.;Config.;10;nibble
repo_map;Menu principal;MENU/REPOMENU.BIN;0x164;Map;Mapa;10;nibble
repo_use;Menu de itens;MENU/REPOMENU.BIN;0x194;Use;Usar;10;nibble
repo_discard;Menu de itens;MENU/REPOMENU.BIN;0x1C4;Discard;Descartar;10;nibble
repo_rename;Menu de itens;MENU/REPOMENU.BIN;0x1F4;Rename;Renomear;10;nibble
repo_examine;Menu de itens;MENU/REPOMENU.BIN;0x224;Examine;Examinar;10;nibble
battle_move;Comandos de batalha;MENU/BATAMENU.BIN;0x14;Move;Mover;10;nibble
battle_action;Comandos de batalha;MENU/BATAMENU.BIN;0x44;Action;Ação;10;nibble
battle_wait;Comandos de batalha;MENU/BATAMENU.BIN;0x74;Wait;Esperar;10;nibble
battle_status;Comandos de batalha;MENU/BATAMENU.BIN;0xA4;Status;Estado;10;nibble
battle_attack;Comandos de batalha;MENU/BATAMENU.BIN;0xD4;Attack;Atacar;10;nibble
battle_items;Comandos de batalha;MENU/BATAMENU.BIN;0x104;Items;Itens;10;nibble
battle_magic;Comandos de batalha;MENU/BATAMENU.BIN;0x134;Magic;Magia;10;nibble
battle_weapon;Comandos de batalha;MENU/BATAMENU.BIN;0x164;Weapon;Arma;10;nibble
battle_escape;Comandos de batalha;MENU/BATAMENU.BIN;0x194;Escape;Fugir;10;nibble
field_hp;Indicadores do menu;BIN/FIELD.BIN;0x17EC;HP;HP;4;nibble
field_mp;Indicadores do menu;BIN/FIELD.BIN;0x17F4;MP;MP;4;nibble
field_lv;Indicadores do menu;BIN/FIELD.BIN;0x17FC;LV;LV;4;nibble
field_time;Indicadores do menu;BIN/FIELD.BIN;0x1864;Time;Tempo;6;nibble
battle_hp;Indicadores de batalha;BIN/BATTLE.BIN;0xC94;HP;HP;4;nibble
